iter	Passed	Remaining
0	0	90
1	1	86
2	2	82
3	3	82
4	4	79
5	4	76
6	5	73
7	6	70
8	6	68
9	7	67
10	8	67
11	9	67
12	9	66
13	10	64
14	11	63
15	11	61
16	12	60
17	12	59
18	13	58
19	14	59
20	15	59
21	16	58
22	17	57
23	17	56
24	18	56
25	19	55
26	20	54
27	20	53
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	40	32
55	40	31
56	41	31
57	42	30
58	42	29
59	43	29
60	44	28
61	44	27
62	45	26
63	46	26
64	46	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	67	1
98	68	0
99	69	0
